Hand,Suit,Unopened Pot EP,Unopened Pot LP,With Limper EP,With Limper LP,With a Raise in Front EP,With a Raise in Front LP
TENI,Off,Fold,Call,Fold,Fold,Fold,Fold
TENI,On,Call,Raise,Fold,Fold,Fold,Fold
TEEI,Off,Fold,Fold,Fold,Fold,Fold,Fold
TEEI,On,Fold,Call,Fold,Fold,Fold,Fold
TESE,Off,Fold,Fold,Fold,Fold,Fold,Fold
TESE,On,Fold,Fold,Fold,Fold,Fold,Fold
TESI,Off,Fold,Fold,Fold,Fold,Fold,Fold
TESI,On,Fold,Fold,Fold,Fold,Fold,Fold
TEFI,Off,Fold,Fold,Fold,Fold,Fold,Fold
TEFI,On,Fold,Fold,Fold,Fold,Fold,Fold
TEFO,Off,Fold,Fold,Fold,Fold,Fold,Fold
TEFO,On,Fold,Fold,Fold,Fold,Fold,Fold
TETH,Off,Fold,Fold,Fold,Fold,Fold,Fold
TETH,On,Fold,Fold,Fold,Fold,Fold,Fold
TETW,Off,Fold,Fold,Fold,Fold,Fold,Fold
TETW,On,Fold,Fold,Fold,Fold,Fold,Fold
